module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Courses & Bootcamp Suite,crs-setup,Setup CRS Module,SU,"Install or update Courses & Bootcamp Suite module config and help entries.",configure,"{-H: headless mode}|{inline values: skip prompts with provided values}",anytime,,,false,{project-root}/.ssconfig,config.yaml and config.user.yaml
Courses & Bootcamp Suite,crs-agent-manager,PDLC Orchestration,PO,"Coordinate transitions between PDLC phases and delegation to sub-agents.",pdlc-orchestration,"{-H: headless mode}",anytime,,,false,{project-root}/.ssconfig/memory/crs,PDLC status report
Courses & Bootcamp Suite,crs-agent-manager,Context Consolidation,CC,"Summarize the work of all sub-agents into one progress report.",context-consolidation,"{-H: headless mode}",anytime,,,false,{project-root}/.ssconfig/memory/crs,progress report
Courses & Bootcamp Suite,crs-agent-manager,Conflict Resolution,CR,"Align sub-agent outputs that conflict with the original vision.",conflict-resolution,"{-H: headless mode}",anytime,,,false,{project-root}/.ssconfig/memory/crs,resolution plan
Courses & Bootcamp Suite,crs-agent-consultant,Deep-Dive Questioning,DD,"Uncover hidden details of course vision through Socratic questioning.",deep-dive-questioning,,1-discovery,,,true,crs_output_folder,critical questions
Courses & Bootcamp Suite,crs-agent-consultant,Feasibility Audit,FA,"Evaluate whether timeline vs material vs target audience makes sense.",feasibility-audit,,1-discovery,crs-agent-consultant:deep-dive-questioning,,false,crs_output_folder,audit report
Courses & Bootcamp Suite,crs-agent-consultant,Vision Locking,VL,"Summarize discussion results into binding project parameters.",vision-locking,,1-discovery,crs-agent-consultant:deep-dive-questioning,,true,crs_output_folder,locked vision parameters
Courses & Bootcamp Suite,crs-agent-researcher,Tech Stack Scoping,TS,"Identify official documentation and technology stability status.",tech-stack-scoping,,2-research,crs-agent-consultant:vision-locking,,false,crs_output_folder,tech status report
Courses & Bootcamp Suite,crs-agent-researcher,Bias & Validity Audit,BV,"Filter biased information and ensure educational references.",bias-validity-audit,,2-research,crs-agent-consultant:vision-locking,,false,crs_output_folder,validated knowledge map
Courses & Bootcamp Suite,crs-agent-researcher,Audience Research,AR,"Map target audience needs and pain points.",audience-research,,2-research,crs-agent-consultant:vision-locking,,false,crs_output_folder,audience pain-points
Courses & Bootcamp Suite,crs-agent-researcher,Trend Awareness,TA,"Detect technology trends relevant to the course.",trend-awareness,,2-research,crs-agent-consultant:vision-locking,,false,crs_output_folder,trend summary
Courses & Bootcamp Suite,crs-agent-architect,Dynamic Timeline Planning,DT,"Calculate time allocation per material based on difficulty level.",dynamic-timeline,,3-design,crs-agent-researcher:tech-stack-scoping,,false,crs_output_folder,dynamic schedule
